SIZE, sort, nth_element
5000,48432,8361
10000,94704,27832
15000,138992,37051
20000,193863,25487
25000,233768,54249
30000,289721,57071
35000,331379,80433
40000,373405,85544
45000,417908,73803
50000,477635,100078
55000,522856,91005
60000,587954,147167
65000,635105,115256
70000,656034,167923
75000,694239,137741
80000,748197,126157
85000,834053,114776
90000,840025,195759
95000,889049,298723
100000,973880,216604
105000,972421,197383
110000,1063663,346614
115000,1091548,142559
120000,1148435,428792
125000,1216247,312257
130000,1262782,259766
135000,1223888,311979
140000,1300931,349120
145000,1452906,216611
150000,1484083,350461
155000,1525955,284161
160000,1586334,196737
165000,1567691,478412
170000,1613403,455495
175000,1580112,336700
180000,1735857,481337
185000,1776941,552835
190000,1729473,425012
195000,1900959,250716
200000,1926425,418088
205000,1889284,528109
210000,2082639,270019
215000,2081862,287660
220000,2074930,327664
225000,2078419,608424
230000,2190528,302304
235000,2240549,726291
240000,2350752,786321
245000,2326149,482645
250000,2451710,311446
255000,2434595,681960
260000,2413047,432012
265000,2564596,411734
270000,2671566,825092
275000,2546247,648380
280000,2669073,800336
285000,2749109,527500
290000,2694963,563419
295000,2667957,609717
300000,2759977,749773
305000,2852855,420372
310000,2946427,592925
315000,2961476,459903
320000,3014286,505890
325000,3043373,705514
330000,3254671,645994
335000,3110807,853019
340000,3188845,738558
345000,3195588,498292
350000,3295277,807589
355000,3315538,667030
360000,3337794,816833
365000,3485805,708523
370000,3589834,678618
375000,3553745,1104855
380000,3488733,757115
385000,3472900,870353
390000,3653954,949882
395000,3659859,872764
400000,3769823,474661
405000,3756269,1026031
410000,3942973,893861
415000,4027409,809120
420000,4017088,935474
425000,4148561,2100385
430000,4019970,582820
435000,4235186,1077901
440000,4282527,989373
445000,4175002,586597
450000,4179056,953266
455000,4343633,946496
460000,4362704,806092
465000,4391905,731988
470000,4266717,1227259
475000,4613748,1214268
480000,4496686,704684
485000,4536665,907676
490000,4639066,1439510
495000,4936190,721077
500000,4564971,1024891
505000,4726750,864534
510000,4954340,919070
515000,4880637,1312843
520000,5072247,570910
525000,5032643,1106784
530000,4965122,1217922
535000,5699603,1541839
540000,5079695,1142110
545000,5408634,771342
550000,5025981,1176540
555000,5694427,1602525
560000,5329257,964451
565000,5532610,928908
570000,5357446,1401050
575000,5379883,893793
580000,5399227,1433802
585000,5662881,1689031
590000,5415989,1560945
595000,5767236,1293786
600000,5447075,1566852
605000,5511370,1502022
610000,5640763,1345743
615000,5881970,1065507
620000,6249661,681430
625000,6020675,1213377
630000,6025621,1454285
635000,6015019,1063010
640000,6465292,797239
645000,6068016,1605205
650000,6025360,1015920
655000,6184954,856027
660000,6360619,1385616
665000,6233725,1316481
670000,6480807,884170
675000,6382580,1236715
680000,6499092,1345990
685000,6670424,1612688
690000,6473618,1182163
695000,6351775,1819777
700000,6861549,942451
705000,6797687,1151854
710000,6728187,1491267
715000,6860006,1140809
720000,6973221,1254343
725000,6810117,1355224
730000,6981322,1814475
735000,6756238,1449792
740000,7003449,1867874
745000,7177955,1376786
750000,7232389,2131033
755000,7422307,1158876
760000,7391560,1082897
765000,7097602,1251517
770000,7319474,1380607
775000,7207995,1227209
780000,7513580,1003601
785000,7312788,1652158
790000,7414431,1524601
795000,7472114,2292499
800000,7486126,1653008
805000,7660408,1226857
810000,7929249,1347255
815000,7503615,1494767
820000,7634079,1860341
825000,7547390,1797856
830000,7873385,1116673
835000,7888075,1934383
840000,7883611,1222755
845000,8097781,1716734
850000,8171947,1228201
855000,7980514,1101038
860000,7979918,2263196
865000,8386938,1233107
870000,8035776,1684907
875000,8833468,2322799
880000,8372922,1300185
885000,8256012,1989685
890000,8434238,1674181
895000,8097397,1647433
900000,8473656,1461834
905000,8316386,1587584
910000,8458527,1244095
915000,8905401,1341368
920000,8818173,1193840
925000,9194178,2819828
930000,9206075,1501822
935000,8675231,2073081
940000,8784762,1534194
945000,8729831,1824006
950000,8937576,1748349
955000,8995732,2496604
960000,8990796,2748399
965000,9131963,1347903
970000,9048010,1736202
975000,9331569,1546983
980000,8984653,2028193
985000,9576503,1288825
990000,9330326,2628168
995000,9160883,2000822
1000000,9801636,1951310
